date,semaine,jour,type_seance,distance_km,denivele_m,tss,ctl,atl,tsb,atl_ctl_ratio,fatigue_generale,stress_percu,douleurs_musculaires,qualite_sommeil,motivation,duree_sommeil_h,s_subjectif,mod_subjectif,rrs_objectif,rrs_daily,etat
2026-05-17,S2,Dim,endurance_fondamentale,8,0,30,50.7,46.0,4.7,0.907,4,3,4,3,3,6.5,0.567,1.04,69.0,71.7,accumulation
2026-05-18,S3,Lun,repos,0,0,0,49.5,39.5,10.1,0.797,4,4,3,4,3,6.5,0.533,1.02,75.6,77.1,fatigue_latente
2026-05-19,S3,Mar,endurance_fondamentale,9,0,38,49.3,39.3,10.0,0.797,4,5,3,4,3,6.0,0.517,1.01,75.2,76.0,fatigue_latente
2026-05-20,S3,Mer,fractionne,11,0,80,50.0,45.1,4.9,0.902,5,5,4,4,3,6.0,0.442,0.965,68.5,66.1,surmenage
2026-05-21,S3,Jeu,endurance_fondamentale,8,0,32,49.6,43.2,6.4,0.872,5,5,4,5,2,5.5,0.354,0.912,70.1,64.0,forme_stable
2026-05-22,S3,Ven,repos,0,0,0,48.4,37.0,11.4,0.765,5,5,4,5,2,5.5,0.354,0.912,76.5,69.8,fatigue_latente
2026-05-23,S3,Sam,sortie_longue,20,600,95,49.5,45.3,4.2,0.916,4,4,4,4,3,6.5,0.5,1.0,67.0,67.0,surmenage
2026-05-24,S3,Dim,endurance_fondamentale,7,0,26,48.9,42.6,6.4,0.87,5,4,5,4,2,6.0,0.387,0.932,69.6,64.8,forme_stable
2026-05-25,S4,Lun,repos,0,0,0,47.8,36.5,11.3,0.764,4,3,4,3,3,7.0,0.567,1.04,75.9,78.9,forme_stable
2026-05-26,S4,Mar,endurance_fondamentale,6,0,22,47.2,34.4,12.7,0.73,3,3,3,3,3,7.0,0.642,1.085,77.7,84.3,surcompensation
2026-05-27,S4,Mer,endurance_fondamentale,8,0,30,46.7,33.8,13.0,0.723,3,2,3,2,4,7.5,0.746,1.147,77.7,89.1,surcompensation
2026-05-28,S4,Jeu,repos,0,0,0,45.6,29.0,16.7,0.634,2,2,2,2,4,7.5,0.821,1.192,83.2,99.2,pic_de_forme
2026-05-29,S4,Ven,endurance_fondamentale,5,0,18,45.0,27.4,17.6,0.609,2,2,2,2,4,7.5,0.821,1.192,84.4,100,pic_de_forme
2026-05-30,S4,Sam,sortie_moyenne,12,300,50,45.1,30.6,14.5,0.679,2,2,2,2,5,8.0,0.858,1.215,78.8,95.8,pic_de_forme
2026-05-31,S4,Dim,endurance_fondamentale,5,0,18,44.5,28.8,15.6,0.648,2,2,2,2,4,7.5,0.821,1.192,80.4,95.8,pic_de_forme
2026-06-01,S5,Lun,repos,0,0,0,43.4,24.7,18.7,0.569,2,2,2,2,4,8.0,0.821,1.192,85.3,100,pic_de_forme
2026-06-02,S5,Mar,endurance_fondamentale,8,0,32,43.1,25.7,17.4,0.597,2,2,2,2,4,7.5,0.821,1.192,82.6,98.4,pic_de_forme
2026-06-03,S5,Mer,tempo,11,0,78,44.0,33.2,10.7,0.756,2,2,2,2,5,7.5,0.858,1.215,71.5,86.9,forme_montante
2026-06-04,S5,Jeu,endurance_fondamentale,7,0,28,43.6,32.5,11.1,0.745,3,2,3,2,4,7.5,0.746,1.147,71.8,82.3,surcompensation
2026-06-05,S5,Ven,repos,0,0,0,42.5,27.8,14.7,0.654,2,2,2,2,4,7.5,0.821,1.192,77.1,91.9,pic_de_forme
2026-06-06,S5,Sam,sortie_longue,20,700,100,43.9,38.1,5.8,0.869,2,2,2,2,5,8.0,0.858,1.215,63.8,77.6,accumulation
2026-06-07,S5,Dim,endurance_fondamentale,8,0,30,43.6,37.0,6.6,0.849,3,2,3,2,4,7.5,0.746,1.147,64.7,74.3,forme_stable
